"Trial","TaskWAV","Selected","Correct","RT","Subj_ID","list","Group","log_RT"
"46","DET_Task_ihr-e_Lieblingskruecke.wav","TARGET","1","2398","O1",3,2,7.78239033558746
"47","DET_Task_sein-e_Lieblingsgabel.wav","TARGET","1","1707","O1",3,2,7.44249272279444
"48","DET_Task_sein-0_Lieblingshut.wav","TARGET","1","2088","O1",3,2,7.64396194900253
"49","DET_Task_ihr-e_Lieblingsbrille.wav","TARGET","1","1693","O1",3,2,7.43425738213314
"50","DET_Task_ihr-e_Lieblingsmuenze.wav","TARGET","1","3262","O1",3,2,8.09009578318096
"51","DET_Task_sein-0_Lieblingssessel.wav","TARGET","1","1653","O1",3,2,7.41034709782102
"52","DET_Task_sein-0_Lieblingsfaecher.wav","TARGET","1","1779","O1",3,2,7.48380668766583
"53","DET_Task_sein-e_Lieblingskerze.wav","TARGET","1","2149","O1",3,2,7.67275789664251
"54","DET_Task_ihr-0_Lieblingsteller.wav","TARGET","1","1458","O1",3,2,7.2848209125686
"55","DET_Task_sein-0_Lieblingsdrachen.wav","TARGET","1","1507","O1",3,2,7.3178761986265
"56","DET_Task_ihr-0_Lieblingskaese.wav","TARGET","1","1692","O1",3,2,7.43366654016617
"57","DET_Task_ihr-e_Lieblingskatze.wav","TARGET","1","1741","O1",3,2,7.46221493976819
"58","DET_Task_sein-0_Lieblingswuerfel.wav","TARGET","1","1930","O1",3,2,7.56527528189893
